latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
20.85226,-156.66003,349.73,0.43,0.38,2023-08-09,1215,N20,VIIRS,n,2,299.11,15.44,N,0
20.85503,-156.65543,344.7,0.43,0.38,2023-08-09,1215,N20,VIIRS,n,2,299.07,74.91,N,0
20.85571,-156.65941,339.11,0.43,0.38,2023-08-09,1215,N20,VIIRS,n,2,297.44,15.44,N,0
20.8564,-156.66341,322.54,0.43,0.38,2023-08-09,1215,N20,VIIRS,n,2,296.83,15.44,N,0
20.85709,-156.66742,318.23,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,295.31,4.43,N,3
20.85916,-156.65878,329.62,0.43,0.38,2023-08-09,1215,N20,VIIRS,n,2,296.35,7.72,N,0
20.85984,-156.66277,341.8,0.43,0.38,2023-08-09,1215,N20,VIIRS,n,2,301.69,7.72,N,0
20.86053,-156.66679,345.29,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,308.84,30.11,N,0
20.86122,-156.67078,329.78,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,309.68,30.11,N,0
20.86193,-156.65421,306.79,0.43,0.38,2023-08-09,1215,N20,VIIRS,n,2,293.92,3.72,N,0
20.86261,-156.65817,333.91,0.43,0.38,2023-08-09,1215,N20,VIIRS,n,2,296.15,7.72,N,0
20.86398,-156.66615,308.2,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,295.65,30.11,N,0
20.86466,-156.67012,342.73,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,318.01,30.11,N,0
20.86535,-156.67415,346.68,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,307.2,39.02,N,0
20.8681,-156.66946,335.81,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,302.56,7.3,N,0
20.86879,-156.67349,354.06,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,312.42,13.07,N,0
20.86948,-156.67751,337.65,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,297.92,13.07,N,0
20.87154,-156.66882,323.88,0.42,0.38,2023-08-09,1215,N20,VIIRS,n,2,297.32,7.3,N,0
